"AGE","SEX","SCHL","WORK","INCOME","XGRP"
38,"여","전문학사","비영리단체",7000,6
50,"여","전문학사","기업",39020,1
26,"여","전문학사","기업",31500,9
30,"여","고졸","기업",31500,4
48,"남","학사","기업",137000,10
50,"여","전문학사","자영업",19200,4
43,"여","고졸","기업",47000,10
21,"여","전문학사","기업",14000,4
22,"남","고졸","비영리단체",6000,5
36,"남","고졸","기업",25000,5
40,"여","고졸","기업",36000,1
48,"남","고졸","기업",24000,7
34,"남","전문학사","기업",68000,6
33,"남","학사","자영업",51000,4
36,"남","고졸","기업",28300,6
26,"남","학사","기업",32000,7
48,"남","전문학사","기업",57000,5
37,"여","고졸","기업",90000,2
43,"남","학사","비영리단체",34500,8
41,"여","학사","기업",55000,8
34,"남","고졸","비영리단체",40000,9
29,"남","전문학사","공무원",60000,6
39,"남","학사","공무원",50000,4
38,"여","학사","비영리단체",45000,5
36,"남","석사","기업",55000,4
31,"여","학사","기업",45000,3
41,"남","석사","비영리단체",190000,7
43,"여","고졸","공무원",60000,10
30,"남","학사","기업",67000,3
41,"남","전문학사","자영업",35000,7
36,"남","고졸","기업",55000,6
32,"남","고졸","기업",54000,6
44,"여","전문학사","기업",90000,1
48,"여","고졸","기업",52000,1
29,"남","전문학사","기업",50000,2
20,"여","고졸","기업",8000,1
50,"여","고졸","비영리단체",15600,1
45,"남","전문학사","기업",80000,5
33,"여","석사","비영리단체",188000,2
38,"남","석사","비영리단체",170000,9
37,"여","전문학사","기업",53200,3
21,"남","전문학사","기업",12000,5
49,"여","고졸","기업",25000,7
24,"남","고졸","기업",50000,2
50,"남","중졸이하","자영업",20000,9
38,"여","고졸","기업",14000,5
40,"남","고졸","기업",56000,3
44,"남","전문학사","공무원",55000,3
50,"여","전문학사","공무원",78000,2
25,"여","전문학사","공무원",11900,6
41,"남","중졸이하","기업",12500,2
39,"남","전문학사","자영업",25000,2
45,"남","고졸","기업",22000,4
29,"남","전문학사","비영리단체",40000,2
38,"남","전문학사","공무원",50000,5
32,"여","전문학사","기업",30000,7
45,"남","전문학사","공무원",45000,7
41,"여","석사","공무원",45000,9
41,"남","전문학사","기업",28000,4
43,"여","전문학사","기업",93000,10
47,"남","고졸","기업",21000,1
29,"남","학사","공무원",65000,7
42,"남","고졸","자영업",3200,5
43,"남","전문학사","기업",41000,4
42,"여","전문학사","기업",22000,9
42,"여","고졸","기업",38000,1
41,"남","학사","기업",117000,9
31,"남","전문학사","기업",55000,2
22,"남","고졸","비영리단체",17500,3
41,"남","고졸","기업",39800,9
40,"여","석사","공무원",34300,1
45,"남","고졸","기업",47800,3
29,"남","전문학사","공무원",70000,10
21,"남","중졸이하","기업",5800,7
27,"남","전문학사","기업",46000,5
27,"남","중졸이하","기업",40000,4
44,"남","중졸이하","기업",26000,5
41,"여","고졸","기업",71000,9
47,"남","고졸","기업",37000,7
40,"여","고졸","비영리단체",31000,5
31,"남","고졸","기업",35600,1
47,"남","전문학사","기업",42800,3
37,"여","전문학사","기업",114500,3
44,"여","고졸","기업",48600,3
46,"여","전문학사","기업",44200,1
49,"여","학사","공무원",52000,5
44,"여","전문학사","기업",32000,3
42,"여","고졸","기업",17000,8
28,"남","석사","공무원",65000,6
32,"남","학사","기업",27000,10
29,"여","전문학사","비영리단체",8000,1
33,"남","고졸","기업",35000,10
38,"남","학사","기업",80000,8
38,"여","석사","비영리단체",50000,10
29,"남","고졸","기업",30000,7
40,"남","학사","기업",72000,2
32,"남","중졸이하","기업",22000,2
40,"여","중졸이하","자영업",30000,8
42,"남","전문학사","기업",66240,6
25,"남","전문학사","기업",20000,4
24,"여","학사","기업",32000,8
26,"여","중졸이하","자영업",27200,4
31,"남","중졸이하","기업",18200,9
45,"남","중졸이하","기업",73200,6
43,"여","전문학사","기업",37300,5
26,"여","학사","기업",106000,10
32,"남","전문학사","기업",26000,5
33,"남","중졸이하","기업",16800,1
40,"여","전문학사","기업",80000,5
25,"남","중졸이하","기업",13000,10
44,"남","학사","공무원",83000,10
50,"여","석사","공무원",40000,5
29,"여","석사","공무원",36000,9
25,"남","학사","공무원",13400,4
35,"남","전문학사","자영업",40000,8
35,"여","전문학사","자영업",30000,9
43,"남","고졸","자영업",65150,4
29,"여","학사","공무원",48000,4
27,"남","전문학사","기업",50000,7
27,"남","중졸이하","기업",65000,9
23,"남","전문학사","기업",32200,7
45,"여","고졸","자영업",40000,6
47,"남","학사","기업",140000,2
46,"여","전문학사","기업",63000,7
47,"남","고졸","기업",63000,1
46,"여","석사","기업",2e+05,5
43,"남","석사","기업",128000,8
33,"남","고졸","기업",40000,8
28,"여","고졸","기업",20000,1
39,"남","학사","기업",105000,5
27,"남","학사","기업",128500,6
30,"여","석사","비영리단체",61200,3
32,"남","전문학사","기업",60000,6
50,"남","박사","공무원",130200,8
41,"여","석사","공무원",115000,8
25,"남","학사","기업",36760,2
42,"여","고졸","공무원",20900,6
27,"여","학사","기업",37100,8
28,"남","중졸이하","기업",23000,3
40,"여","학사","기업",29000,8
35,"남","학사","기업",125020,9
36,"남","고졸","기업",40000,2
47,"여","학사","공무원",87600,10
43,"남","중졸이하","기업",18000,8
42,"여","전문학사","공무원",54000,9
39,"여","학사","기업",119000,2
31,"남","학사","기업",40000,1
25,"남","전문학사","기업",47000,9
49,"여","학사","기업",51000,10
33,"여","고졸","기업",65000,2
37,"남","전문학사","공무원",90000,5
31,"여","전문학사","기업",45000,5
30,"여","고졸","기업",65000,8
