name,year_start,year_end,position,height,weight
Sean Elliott,1990.0,2001.0,F,06-08,205.0
Bo Ellis,1978.0,1980.0,F,06-09,197.0
Boo Ellis,1959.0,1960.0,F,06-05,185.0
Dale Ellis,1984.0,2000.0,G-F,06-07,205.0
Harold Ellis,1994.0,1998.0,G,06-05,200.0
Joe Ellis,1967.0,1974.0,F-G,06-06,175.0
LaPhonso Ellis,1993.0,2003.0,F,06-08,240.0
LeRon Ellis,1992.0,1996.0,F-C,06-09,225.0
Leroy Ellis,1963.0,1976.0,C-F,06-10,210.0
Monta Ellis,2006.0,2017.0,G,06-03,185.0
Pervis Ellison,1990.0,2001.0,F-C,06-09,210.0
Len Elmore,1975.0,1984.0,C-F,06-09,220.0
Francisco Elson,2004.0,2012.0,C,7-0,235.0
Darrell Elston,1975.0,1977.0,G,06-04,190.0
Melvin Ely,2003.0,2014.0,C,06-10,260.0
Joel Embiid,2017.0,2018.0,C-F,7-0,250.0
Wayne Embry,1959.0,1969.0,C-F,06-08,240.0
Andre Emmett,2005.0,2012.0,F,06-05,230.0
Ned Endress,1947.0,1947.0,F-G,06-02,200.0
Chris Engler,1983.0,1988.0,C,06-11,245.0
Wayne Englestad,1989.0,1989.0,F,06-08,245.0
A.J. English,1991.0,1992.0,G,06-03,175.0
Alex English,1977.0,1991.0,F,06-07,190.0
Claude English,1971.0,1971.0,F,06-04,185.0
Jo Jo English,1993.0,1995.0,G,06-04,195.0
Kim English,2013.0,2013.0,G,06-06,200.0
Scott English,1973.0,1975.0,F,06-06,205.0
Gene Englund,1950.0,1950.0,F-C,06-05,205.0
James Ennis,2015.0,2018.0,F,06-07,210.0
Tyler Ennis,2015.0,2018.0,G,06-03,194.0
Ray Epps,1979.0,1979.0,F,06-06,195.0
Semih Erden,2011.0,2012.0,C,7-0,240.0
Bo Erias,1958.0,1958.0,F,06-03,220.0
Keith Erickson,1966.0,1977.0,F-G,06-05,195.0
Julius Erving,1972.0,1987.0,F-G,06-07,210.0
Evan Eschmeyer,2000.0,2003.0,C,06-11,255.0
Jack Eskridge,1949.0,1949.0,C-F,06-05,200.0
Vincenzo Esposito,1996.0,1996.0,G,06-03,198.0
Billy Evans,1970.0,1970.0,G,6-0,170.0
Bob Evans,1950.0,1950.0,G,06-02,175.0
Brian Evans,1997.0,1999.0,F,06-08,220.0
Earl Evans,1980.0,1980.0,F,06-08,202.0
Jawun Evans,2018.0,2018.0,G,6-0,185.0
Jeremy Evans,2011.0,2016.0,F,06-09,200.0
Maurice Evans,2002.0,2012.0,G,06-05,220.0
Mike Evans,1980.0,1988.0,G,06-01,170.0
Reggie Evans,2003.0,2015.0,F,06-08,245.0
Tyreke Evans,2010.0,2018.0,G-F,06-06,220.0
Daniel Ewing,2006.0,2007.0,G,06-03,185.0
Patrick Ewing,1986.0,2002.0,C-F,7-0,240.0
Dante Exum,2015.0,2017.0,G,06-06,190.0
Christian Eyenga,2011.0,2012.0,F,06-05,210.0
Festus Ezeli,2013.0,2016.0,C,06-11,255.0
Johnny Ezersky,1948.0,1950.0,F-G,06-03,175.0
Joe Fabel,1947.0,1947.0,F-G,06-01,190.0
John Fairchild,1966.0,1970.0,F,06-08,205.0
Phil Farbman,1949.0,1949.0,F,06-01,185.0
Kenneth Faried,2012.0,2018.0,F,06-08,228.0
Dick Farley,1955.0,1959.0,G-F,06-04,190.0
Jordan Farmar,2007.0,2017.0,G,06-02,180.0
Desmon Farmer,2007.0,2009.0,G,06-05,220.0
Jim Farmer,1988.0,1994.0,G,06-04,190.0
Mike Farmer,1959.0,1966.0,F,06-07,210.0
Tony Farmer,1998.0,2000.0,F,06-09,244.0
Bob Faught,1947.0,1947.0,F,06-05,185.0
Vitor Faverani,2014.0,2014.0,C,06-11,260.0
Derrick Favors,2011.0,2018.0,F-C,06-10,265.0
Nick Fazekas,2008.0,2008.0,F,06-11,235.0
Dave Fedor,1963.0,1963.0,F,06-06,190.0
Bob Feerick,1947.0,1950.0,F-G,06-03,190.0
Butch Feher,1977.0,1977.0,G,06-04,185.0
Jamie Feick,1997.0,2001.0,C,06-09,255.0
Ron Feiereisel,1956.0,1956.0,G,06-03,185.0
George Feigenbaum,1950.0,1953.0,G,06-01,185.0
Dave Feitl,1987.0,1992.0,C,06-11,235.0
Kay Felder,2017.0,2018.0,G,05-09,176.0
Cristiano Felicio,2016.0,2018.0,F-C,06-10,275.0
Carrick Felix,2014.0,2014.0,G,06-06,201.0
Noel Felix,2006.0,2006.0,F,06-09,225.0
Ray Felix,1954.0,1962.0,C,06-11,220.0
Raymond Felton,2006.0,2018.0,G,06-01,205.0
Jake Fendley,1952.0,1953.0,G,6-0,180.0
Warren Fenley,1947.0,1947.0,F,06-03,190.0
Desmond Ferguson,2004.0,2004.0,G-F,06-07,203.0
Terrance Ferguson,2018.0,2018.0,G-F,06-07,184.0
Rudy Fernandez,2009.0,2012.0,G,06-06,185.0
Eric Fernsten,1976.0,1984.0,C-F,06-10,205.0
Al Ferrari,1956.0,1963.0,G-F,06-04,190.0
Rolando Ferreira,1989.0,1989.0,C,07-01,240.0
Duane Ferrell,1989.0,1999.0,F-G,06-07,209.0
Yogi Ferrell,2017.0,2018.0,G,6-0,180.0
Arnie Ferrin,1949.0,1951.0,F-G,06-02,180.0
Bob Ferry,1960.0,1969.0,C-F,06-08,230.0
Danny Ferry,1991.0,2003.0,F,06-10,230.0
Kyrylo Fesenko,2008.0,2012.0,C,07-01,288.0
Bobby Fields,1972.0,1972.0,G,06-03,175.0
Kenny Fields,1985.0,1988.0,F-G,06-05,220.0
Landry Fields,2011.0,2015.0,F,06-07,210.0
Ron Filipek,1968.0,1968.0,F,06-05,205.0
Greg Fillmore,1971.0,1972.0,C,07-01,240.0
Larry Finch,1974.0,1975.0,G,06-02,185.0
Hank Finkel,1967.0,1975.0,C,7-0,240.0
Michael Finley,1996.0,2010.0,G-F,06-07,215.0
Danny Finn,1953.0,1955.0,G,06-01,185.0
Dorian Finney-Smith,2017.0,2018.0,F,06-08,220.0
Matt Fish,1995.0,1997.0,C,06-11,235.0
Derek Fisher,1997.0,2014.0,G,06-01,200.0
Richard Fisher,1972.0,1972.0,F,06-05,215.0
Gerald Fitch,2006.0,2006.0,G,06-03,188.0
Bob Fitzgerald,1947.0,1949.0,F-C,06-05,190.0
Dick Fitzgerald,1947.0,1948.0,F,06-02,175.0
Marcus Fizer,2001.0,2006.0,F,06-09,262.0
Jerry Fleishman,1947.0,1953.0,G-F,06-02,190.0
Al Fleming,1978.0,1978.0,F,06-07,215.0
Ed Fleming,1956.0,1960.0,G-F,06-03,189.0
Vern Fleming,1985.0,1996.0,G,06-05,185.0
Luis Flores,2005.0,2005.0,G,06-02,200.0
Bruce Flowers,1983.0,1983.0,F,06-08,225.0
Sleepy Floyd,1983.0,1995.0,G,06-03,170.0
Jonny Flynn,2010.0,2012.0,G,6-0,185.0
Mike Flynn,1976.0,1978.0,G,06-02,180.0
Larry Fogle,1976.0,1976.0,G,06-05,205.0
Jack Foley,1963.0,1963.0,F,06-03,170.0
Isaac Fontaine,2002.0,2002.0,G,06-04,210.0
Levi Fontaine,1971.0,1971.0,G,06-04,190.0
Jeff Foote,2012.0,2012.0,C,7-0,265.0
Bryn Forbes,2017.0,2018.0,G,06-03,190.0
Gary Forbes,2011.0,2012.0,F,06-07,220.0
Alphonso Ford,1994.0,1995.0,G,06-01,190.0
Alton Ford,2002.0,2004.0,F,06-09,275.0
Bob Ford,1973.0,1973.0,F,06-07,228.0
Chris Ford,1973.0,1982.0,G-F,06-05,190.0
Don Ford,1976.0,1982.0,F,06-09,215.0
Jake Ford,1971.0,1972.0,G,06-03,180.0
Phil Ford,1979.0,1985.0,G,06-02,175.0
Sharrod Ford,2006.0,2006.0,F,06-09,225.0
Sherell Ford,1996.0,1996.0,F,06-07,210.0
T.J. Ford,2004.0,2012.0,G,6-0,165.0
Donnie Forman,1949.0,1949.0,G,05-10,175.0
Bayard Forrest,1978.0,1979.0,C,06-10,235.0
Joseph Forte,2002.0,2003.0,G,06-04,194.0
Courtney Fortson,2012.0,2012.0,G,05-11,185.0
Danny Fortson,1998.0,2007.0,F,06-07,260.0
Fred Foster,1969.0,1977.0,F,06-05,210.0
Greg Foster,1991.0,2003.0,F-C,06-11,240.0
Jeff Foster,2000.0,2012.0,F-C,06-11,236.0
Jimmy Foster,1975.0,1976.0,G,06-01,175.0
Rod Foster,1984.0,1986.0,G,06-01,160.0
Antonis Fotsis,2002.0,2002.0,F,06-10,219.0
Evan Fournier,2013.0,2018.0,G-F,06-07,205.0
Larry Foust,1951.0,1962.0,C-F,06-09,215.0
Calvin Fowler,1970.0,1970.0,G,6-0,175.0
Jerry Fowler,1952.0,1952.0,C,06-08,230.0
Tremaine Fowlkes,2002.0,2005.0,F,06-08,220.0
De'Aaron Fox,2018.0,2018.0,G,06-03,170.0
Harold Fox,1973.0,1973.0,G,06-02,175.0
Jim Fox,1968.0,1977.0,C-F,06-10,230.0
Rick Fox,1992.0,2004.0,F-G,06-07,230.0
Randy Foye,2007.0,2017.0,G,06-04,213.0
Adonal Foyle,1998.0,2009.0,C,06-10,250.0
Richie Frahm,2004.0,2008.0,G,06-05,210.0
Steve Francis,2000.0,2008.0,G,06-03,195.0
Tellis Frank,1988.0,1994.0,F-C,06-10,225.0
Nat Frankel,1947.0,1947.0,F-G,6-0,195.0
Jamaal Franklin,2014.0,2015.0,G,06-05,191.0
William Franklin,1973.0,1976.0,F,06-07,220.0
Ronald Franz,1968.0,1973.0,F,06-07,205.0
Tim Frazier,2015.0,2018.0,G,06-01,170.0
Walt Frazier,1968.0,1980.0,G,06-04,200.0
Will Frazier,1966.0,1969.0,C-F,06-07,210.0
Anthony Frederick,1989.0,1992.0,F,06-07,205.0
Jimmer Fredette,2012.0,2016.0,G,06-02,195.0
World B. Free,1976.0,1988.0,G,06-02,185.0
Joel Freeland,2013.0,2015.0,F-C,06-10,250.0
Donnie Freeman,1968.0,1976.0,G,06-03,185.0
Gary Freeman,1971.0,1971.0,F,06-09,210.0
Rod Freeman,1974.0,1974.0,F,06-07,225.0
Matt Freije,2005.0,2007.0,F,06-10,240.0
Frido Frey,1947.0,1947.0,F,06-02,195.0
Larry Friend,1958.0,1958.0,G-F,06-04,185.0
Pat Frink,1969.0,1969.0,G,06-04,195.0
Jim Fritsche,1954.0,1955.0,F-C,06-08,210.0
Channing Frye,2006.0,2018.0,C-F,06-11,255.0
Bernie Fryer,1974.0,1975.0,G,06-03,185.0
Frank Fucarino,1947.0,1947.0,F,06-02,175.0
Herm Fuetsch,1948.0,1948.0,G,6-0,170.0
Joe Fulks,1947.0,1954.0,F-C,06-05,190.0
Carl Fuller,1971.0,1972.0,C,06-09,225.0
Hiram Fuller,2004.0,2004.0,F,06-09,240.0
Todd Fuller,1997.0,2001.0,C,06-11,255.0
Tony Fuller,1981.0,1981.0,G,06-04,180.0
Markelle Fultz,2018.0,2018.0,G,06-04,195.0
Lawrence Funderburke,1998.0,2005.0,F,06-09,230.0
Terry Furlow,1977.0,1980.0,G-F,06-04,190.0
Bill Gabor,1950.0,1955.0,G-F,05-11,170.0
Dan Gadzuric,2003.0,2012.0,C,06-11,240.0
Deng Gai,2006.0,2006.0,F,06-09,250.0
Elmer Gainer,1948.0,1950.0,F-C,06-06,195.0
Bill Gaines,1969.0,1969.0,G,06-04,185.0
Corey Gaines,1989.0,1995.0,G,06-03,195.0
David Gaines,1968.0,1968.0,G,06-01,170.0
Reece Gaines,2004.0,2006.0,G,06-06,205.0
Sundiata Gaines,2010.0,2012.0,G,06-01,185.0
Mike Gale,1972.0,1982.0,G,06-04,185.0
Chad Gallagher,1994.0,1994.0,C,06-10,255.0
Harry Gallatin,1949.0,1958.0,F-C,06-06,210.0
Danilo Gallinari,2009.0,2018.0,F,06-10,225.0
Langston Galloway,2015.0,2018.0,G,06-02,200.0
Dave Gambee,1959.0,1970.0,F,06-06,215.0
Kevin Gamble,1988.0,1997.0,F-G,06-05,210.0
Bob Gantt,1947.0,1947.0,F-C,06-04,205.0
Jorge Garbajosa,2007.0,2008.0,F,06-09,245.0
Ruben Garces,2001.0,2001.0,F,06-09,245.0
Alex Garcia,2004.0,2005.0,G,06-03,220.0
Francisco Garcia,2006.0,2015.0,F-G,06-07,195.0
Chuck Gardner,1968.0,1968.0,F,06-08,205.0
Earl Gardner,1949.0,1949.0,F,06-03,195.0
Kenneth Gardner,1976.0,1976.0,F,06-05,205.0
Thomas Gardner,2008.0,2009.0,G,06-05,225.0
Vern Gardner,1950.0,1952.0,F-C,06-05,200.0
Jack Garfinkel,1947.0,1949.0,G,6-0,190.0
Patricio Garino,2017.0,2017.0,G-F,06-06,210.0
Gary Garland,1980.0,1980.0,G,06-04,180.0
Winston Garland,1988.0,1995.0,G,06-02,170.0
Dick Garmaker,1956.0,1961.0,G-F,06-03,200.0
Bill Garner,1968.0,1968.0,C,06-10,220.0
Chris Garner,1998.0,2001.0,G,05-10,156.0
Bill Garnett,1983.0,1986.0,F,06-09,225.0
Kevin Garnett,1996.0,2016.0,F-C,06-11,240.0
Marlon Garnett,1999.0,1999.0,G,06-02,186.0
Calvin Garrett,1981.0,1984.0,F,06-07,190.0
Dean Garrett,1997.0,2002.0,C,06-10,225.0
Diante Garrett,2013.0,2014.0,G,06-04,190.0
Dick Garrett,1970.0,1974.0,G,06-03,185.0
Rowland Garrett,1973.0,1977.0,F,06-06,210.0
Tom Garrick,1989.0,1992.0,G,06-02,185.0
John Garris,1984.0,1984.0,F,06-08,205.0
Kiwane Garris,1998.0,2000.0,G,06-02,183.0
Pat Garrity,1999.0,2008.0,F,06-09,238.0
Jim Garvin,1974.0,1974.0,F,06-07,200.0
Marc Gasol,2009.0,2018.0,C,07-01,255.0
Pau Gasol,2002.0,2018.0,F-C,7-0,250.0
Frank Gates,1950.0,1950.0,G,6-0,160.0
Chris Gatling,1992.0,2002.0,F-C,06-10,220.0
Kenny Gattison,1987.0,1996.0,F-C,06-08,225.0
Rudy Gay,2007.0,2018.0,F,06-08,230.0
Ed Gayda,1951.0,1951.0,G-F,06-04,210.0
Andrew Gaze,1994.0,1999.0,G,06-07,205.0
Michael Gbinije,2017.0,2017.0,G,06-07,200.0
Reggie Geary,1997.0,1998.0,G,06-02,187.0
Alonzo Gee,2010.0,2017.0,G,06-06,225.0
Matt Geiger,1993.0,2002.0,C,7-0,243.0
Mickael Gelabale,2007.0,2013.0,F,06-07,215.0
Devean George,2000.0,2010.0,G-F,06-08,220.0
Jack George,1954.0,1961.0,G,06-02,190.0
Paul George,2011.0,2018.0,F,06-09,220.0
Tate George,1991.0,1995.0,G,06-05,190.0
Marcus Georges-Hunt,2017.0,2018.0,G,06-05,216.0
Gus Gerard,1975.0,1981.0,F-G,06-08,200.0
Derrick Gervin,1990.0,1991.0,F,06-08,200.0
George Gervin,1973.0,1986.0,G-F,06-07,180.0
Gorham Getchell,1947.0,1947.0,C,06-04,205.0
John Gianelli,1973.0,1980.0,C-F,06-10,220.0
Dick Gibbs,1972.0,1976.0,F-G,06-05,210.0
Daniel Gibson,2007.0,2013.0,G,06-02,190.0
Dee Gibson,1950.0,1950.0,F-G,05-11,175.0
Hoot Gibson,1950.0,1950.0,F-C,06-05,198.0
Jonathan Gibson,2017.0,2017.0,G,06-02,185.0
Mel Gibson,1964.0,1964.0,G,06-03,180.0
Mike Gibson,1984.0,1986.0,F,06-10,205.0
Taj Gibson,2010.0,2018.0,F,06-09,225.0
J.R. Giddens,2009.0,2010.0,G,06-05,215.0
Trey Gilder,2010.0,2010.0,F,06-09,185.0
Eddie Gill,2001.0,2009.0,G,6-0,190.0
Kendall Gill,1991.0,2005.0,G,06-05,195.0
Ben Gillery,1989.0,1989.0,C,7-0,235.0
Jack Gillespie,1970.0,1970.0,F,06-06,215.0
Gene Gillette,1947.0,1947.0,F,06-02,205.0
Armen Gilliam,1988.0,2000.0,F-C,06-09,230.0
Herm Gilliam,1970.0,1977.0,G-F,06-03,190.0
Artis Gilmore,1972.0,1988.0,C,07-02,240.0
Walt Gilmore,1971.0,1971.0,F,06-06,225.0
Chuck Gilmur,1947.0,1951.0,F-C,06-04,225.0
Manu Ginobili,2003.0,2018.0,G,06-06,205.0
Gordan Giricek,2003.0,2008.0,G-F,06-06,210.0
Jack Givens,1979.0,1980.0,F-G,06-05,205.0
Mickell Gladness,2012.0,2012.0,C,06-11,220.0
George Glamack,1949.0,1949.0,C-F,06-06,225.0
Gerald Glass,1991.0,1996.0,G-F,06-05,221.0
Mike Glenn,1978.0,1987.0,G,06-02,175.0
Normie Glick,1950.0,1950.0,F,06-07,190.0
Georgi Glouchkov,1986.0,1986.0,F,06-08,235.0
Clarence Glover,1972.0,1972.0,F,06-08,210.0
Dion Glover,2000.0,2005.0,G,06-05,228.0
Andreas Glyniadakis,2007.0,2007.0,C,07-01,280.0
Mike Gminski,1981.0,1994.0,C,06-11,250.0
Rudy Gobert,2014.0,2018.0,C,07-01,245.0
Dan Godfread,1991.0,1992.0,C,06-10,250.0
Tom Gola,1956.0,1966.0,G-F,06-06,205.0
Ben Goldfaden,1947.0,1947.0,F,06-01,185.0
Anthony Goldwire,1996.0,2006.0,G,06-01,182.0
Ryan Gomes,2006.0,2014.0,F,06-07,250.0
Glen Gondrezick,1978.0,1983.0,F-G,06-06,218.0
Grant Gondrezick,1987.0,1989.0,G,06-05,205.0
Drew Gooden,2003.0,2016.0,F,06-10,250.0
Gail Goodrich,1966.0,1979.0,G,06-01,170.0
Steve Goodrich,2001.0,2002.0,F,06-10,220.0
Archie Goodwin,2014.0,2017.0,G,06-05,200.0
Pop Goodwin,1947.0,1948.0,F-C,06-02,203.0
Aaron Gordon,2015.0,2018.0,F,06-09,220.0
Ben Gordon,2005.0,2015.0,G,06-03,200.0
Drew Gordon,2015.0,2015.0,F,06-09,245.0
Eric Gordon,2009.0,2018.0,G,06-04,215.0
Lancaster Gordon,1985.0,1988.0,G,06-03,185.0
Paul Gordon,1950.0,1950.0,F,06-03,185.0
Marcin Gortat,2008.0,2018.0,C-F,06-11,240.0
Leo Gottlieb,1947.0,1948.0,G,05-11,180.0
Andrew Goudelock,2012.0,2016.0,G,06-03,200.0
Gerald Govan,1968.0,1976.0,F-C,06-10,220.0
Bato Govedarica,1954.0,1954.0,G,05-11,185.0
Joe Graboski,1949.0,1962.0,F-C,06-07,195.0
Ricky Grace,1994.0,1994.0,G,06-01,180.0
Calvin Graham,1968.0,1968.0,G,06-02,195.0
Greg Graham,1994.0,1998.0,G,06-04,174.0
Joey Graham,2006.0,2011.0,F,06-07,225.0
Mal Graham,1968.0,1969.0,G,06-01,185.0
Orlando Graham,1989.0,1989.0,F,06-08,220.0
Paul Graham,1992.0,1994.0,F-G,06-06,200.0
Stephen Graham,2006.0,2011.0,G,06-06,215.0
Treveon Graham,2017.0,2018.0,G,06-06,220.0
Jim Grandholm,1991.0,1991.0,F-C,7-0,235.0
Ron Grandison,1989.0,1996.0,F,06-06,215.0
Danny Granger,2006.0,2015.0,F,06-09,222.0
Stewart Granger,1984.0,1987.0,G,06-03,190.0
Brian Grant,1995.0,2006.0,F,06-09,254.0
Bud Grant,1950.0,1951.0,F,06-03,195.0
Gary Grant,1989.0,2001.0,G,06-03,185.0
Greg Grant,1990.0,1996.0,G,05-07,140.0
Harvey Grant,1989.0,1999.0,F,06-08,195.0
Horace Grant,1988.0,2004.0,F-C,06-10,215.0
Jerami Grant,2015.0,2018.0,F,06-08,210.0
Jerian Grant,2016.0,2018.0,G,06-04,195.0
Josh Grant,1994.0,1994.0,F,06-09,223.0
Paul Grant,1999.0,2004.0,C,7-0,245.0
Travis Grant,1973.0,1976.0,F,06-07,215.0
Don Grate,1950.0,1950.0,F-G,06-02,185.0
Butch Graves,1985.0,1985.0,G,06-03,200.0
Aaron Gray,2008.0,2014.0,C,7-0,270.0
Devin Gray,1997.0,2000.0,F,06-07,240.0
Ed Gray,1998.0,1999.0,G,06-03,210.0
Evric Gray,1997.0,1997.0,F,06-07,235.0
Gary Gray,1968.0,1968.0,G,06-01,185.0
Leonard Gray,1975.0,1977.0,F,06-08,240.0
Stuart Gray,1985.0,1991.0,C-F,7-0,235.0
Sylvester Gray,1989.0,1989.0,F,06-06,230.0
Wyndol Gray,1947.0,1948.0,G-F,06-01,175.0
Jeff Grayer,1989.0,1998.0,F-G,06-05,200.0
Bob Greacen,1970.0,1972.0,F,06-07,206.0
A.C. Green,1986.0,2001.0,F-C,06-09,220.0
Danny Green,2010.0,2018.0,G-F,06-06,215.0
Devin Green,2006.0,2006.0,G,06-07,210.0
Draymond Green,2013.0,2018.0,F,06-07,230.0
Erick Green,2015.0,2016.0,G,06-04,185.0
Gerald Green,2006.0,2017.0,G-F,06-07,205.0
JaMychal Green,2015.0,2018.0,F,06-09,227.0
Jeff Green,2008.0,2018.0,F,06-09,235.0
Johnny Green,1960.0,1973.0,F-C,06-05,200.0
Ken Green,1986.0,1986.0,F,06-08,215.0
Kenny Green,1986.0,1987.0,F,06-06,210.0
Lamar Green,1970.0,1975.0,F-C,06-07,210.0
Litterial Green,1993.0,1999.0,G,06-01,185.0
Luther Green,1970.0,1973.0,F,06-07,190.0
Mike Green,1974.0,1980.0,C-F,06-10,200.0
Rickey Green,1978.0,1992.0,G,6-0,170.0
Sean Green,1992.0,1994.0,G-F,06-05,210.0
Si Green,1957.0,1966.0,G-F,06-02,185.0
Sidney Green,1984.0,1993.0,F-C,06-09,220.0
Steve Green,1976.0,1979.0,F,06-07,220.0
Taurean Green,2008.0,2008.0,G,6-0,177.0
Tommie Green,1979.0,1979.0,G,06-02,185.0
Willie Green,2004.0,2015.0,G,06-04,200.0
Donte Greene,2009.0,2012.0,F,06-11,226.0
Orien Greene,2006.0,2011.0,G,06-04,208.0
Jerry Greenspan,1964.0,1965.0,F,06-05,195.0
Dave Greenwood,1980.0,1991.0,F-C,06-09,222.0
Hal Greer,1959.0,1973.0,G-F,06-02,175.0
Lynn Greer,2007.0,2007.0,G,06-02,175.0
Gary Gregor,1969.0,1974.0,F-C,06-07,225.0
Claude Gregory,1986.0,1988.0,F,06-08,205.0
John Greig,1983.0,1983.0,F,06-07,215.0
Norm Grekin,1954.0,1954.0,F,06-05,180.0
Kevin Grevey,1976.0,1985.0,G-F,06-05,210.0
Dennis Grey,1969.0,1970.0,C-F,06-08,215.0
Adrian Griffin,2000.0,2008.0,G-F,06-05,217.0
Blake Griffin,2011.0,2018.0,F,06-10,251.0
Eddie Griffin,2002.0,2007.0,F-C,06-10,220.0
Greg Griffin,1978.0,1978.0,F,06-07,190.0
Paul Griffin,1977.0,1983.0,F-C,06-09,205.0
Taylor Griffin,2010.0,2010.0,F,06-07,238.0
Darrell Griffith,1981.0,1991.0,G,06-04,190.0
Chuck Grigsby,1955.0,1955.0,G,06-05,190.0
Derek Grimm,1998.0,1998.0,F,06-09,230.0
Woody Grimshaw,1947.0,1947.0,G,06-01,185.0
Dick Groat,1953.0,1953.0,G,05-11,180.0
Bob Gross,1976.0,1983.0,F-G,06-06,200.0
Mike Grosso,1972.0,1972.0,C,06-09,230.0
Jerry Grote,1965.0,1965.0,G,06-04,215.0
Alex Groza,1950.0,1951.0,C,06-07,218.0
Dick Grubar,1970.0,1970.0,G,06-04,184.0
Anthony Grundy,2006.0,2006.0,G,06-03,180.0
Ernie Grunfeld,1978.0,1986.0,G-F,06-06,210.0
Gene Guarilia,1960.0,1963.0,F,06-05,220.0
Petur Gudmundsson,1982.0,1989.0,C,07-02,260.0
Richie Guerin,1957.0,1970.0,G,06-04,195.0
Tom Gugliotta,1993.0,2005.0,F,06-10,240.0
Andres Guibert,1994.0,1995.0,F-C,06-10,225.0
Jay Guidinger,1993.0,1994.0,C,06-10,255.0
Coulby Gunther,1947.0,1949.0,F,06-04,190.0
Dave Gunther,1963.0,1963.0,F,06-07,190.0
Al Guokas,1950.0,1950.0,F-G,06-05,200.0
Matt Guokas,1947.0,1947.0,F,06-03,195.0
Jorge Gutierrez,2014.0,2016.0,G,06-03,191.0
A.J. Guyton,2001.0,2003.0,G,06-01,180.0
Rudy Hackett,1976.0,1977.0,F,06-09,210.0
Hamed Haddadi,2009.0,2013.0,C,07-02,254.0
Jim Hadnot,1968.0,1968.0,C-F,06-10,235.0
Scott Haffner,1990.0,1991.0,G,06-03,180.0
Cliff Hagan,1957.0,1970.0,F-G,06-04,210.0
Glenn Hagan,1982.0,1982.0,G,6-0,170.0
Tom Hagan,1970.0,1971.0,G,06-03,185.0
Robert Hahn,1950.0,1950.0,C,06-10,240.0
Al Hairston,1969.0,1970.0,G,06-01,170.0
Happy Hairston,1965.0,1975.0,F,06-07,225.0
Lindsay Hairston,1976.0,1976.0,F-C,06-07,180.0
Malik Hairston,2009.0,2010.0,G,06-06,220.0
P.J. Hairston,2015.0,2016.0,G-F,06-06,230.0
Marcus Haislip,2003.0,2010.0,F,06-10,230.0
Chick Halbert,1947.0,1951.0,C,06-09,225.0
Swede Halbrook,1961.0,1962.0,C,07-03,235.0
Bruce Hale,1949.0,1951.0,G-F,06-01,170.0
Hal Hale,1968.0,1968.0,G,06-01,180.0
Jack Haley,1989.0,1998.0,C-F,06-10,240.0
Shaler Halimon,1969.0,1973.0,G-F,06-05,199.0
Mike Hall,2007.0,2007.0,F,06-08,230.0
Jeff Halliburton,1972.0,1973.0,G,06-05,193.0
Darvin Ham,1997.0,2005.0,F,06-07,220.0
Steve Hamer,1997.0,1997.0,C,7-0,245.0
Dale Hamilton,1950.0,1950.0,G-F,6-0,180.0
Daniel Hamilton,2018.0,2018.0,G-F,06-07,195.0
Dennis Hamilton,1968.0,1971.0,F,06-08,210.0
Joe Hamilton,1971.0,1976.0,G,05-10,160.0
Jordan Hamilton,2012.0,2016.0,G-F,06-07,220.0
Justin Hamilton,2014.0,2017.0,C,7-0,260.0
Ralph Hamilton,1949.0,1949.0,G-F,06-01,188.0
Richard Hamilton,2000.0,2013.0,G-F,06-06,185.0
Roy Hamilton,1980.0,1981.0,G,06-02,180.0
Steve Hamilton,1959.0,1960.0,F-C,06-06,190.0
Tang Hamilton,2002.0,2002.0,F,06-08,220.0
Thomas Hamilton,1996.0,2000.0,C,07-02,330.0
Zendon Hamilton,2001.0,2006.0,C-F,06-11,250.0
Geert Hammink,1994.0,1996.0,C,7-0,262.0
Julian Hammond,1968.0,1972.0,F,06-05,205.0
Tom Hammonds,1990.0,2001.0,F,06-09,215.0
A.J. Hammons,2017.0,2017.0,C,7-0,260.0
Joe Hamood,1968.0,1968.0,G,6-0,180.0
Darrin Hancock,1995.0,1997.0,G-F,06-07,205.0
Ben Handlogten,2004.0,2005.0,C,06-10,240.0
Cecil Hankins,1947.0,1948.0,G,06-01,175.0
Phil Hankinson,1974.0,1975.0,F,06-08,195.0
Alex Hannum,1950.0,1957.0,F-C,06-07,210.0
Don Hanrahan,1953.0,1953.0,F,06-07,200.0
Rollen Hans,1954.0,1955.0,G,06-02,210.0
Ben Hansbrough,2013.0,2013.0,G,06-03,203.0
Tyler Hansbrough,2010.0,2016.0,F,06-09,250.0
Bob Hansen,1984.0,1992.0,G,06-06,190.0
Glenn Hansen,1976.0,1978.0,G,06-04,205.0
Lars Hansen,1979.0,1979.0,C,06-10,225.0
Travis Hansen,2004.0,2004.0,G,06-06,205.0
Reggie Hanson,1998.0,1998.0,F,06-08,195.0
Bill Hanzlik,1981.0,1990.0,G-F,06-07,185.0
Luke Harangody,2011.0,2012.0,F,06-08,246.0
Anfernee Hardaway,1994.0,2008.0,G-F,06-07,195.0
Tim Hardaway,1990.0,2003.0,G,6-0,175.0
James Harden,2010.0,2018.0,G,06-05,220.0
Reggie Harding,1964.0,1968.0,C,7-0,249.0
Charlie Hardnett,1963.0,1965.0,F-C,06-08,225.0
