name,year_start,year_end,position,height,weight
John Bagley,1983.0,1994.0,G,6-0,185.0
Carl Bailey,1982.0,1982.0,C,7-0,210.0
Gus Bailey,1975.0,1980.0,G-F,06-05,185.0
James Bailey,1980.0,1988.0,F-C,06-09,220.0
Thurl Bailey,1984.0,1999.0,F-C,06-11,215.0
Toby Bailey,1999.0,2000.0,G,06-06,213.0
Cameron Bairstow,2015.0,2016.0,F-C,06-09,250.0
Jimmie Baker,1976.0,1976.0,F,06-09,220.0
LaMark Baker,1999.0,1999.0,G,06-01,175.0
Maurice Baker,2005.0,2005.0,G,06-01,175.0
Norm Baker,1947.0,1947.0,G,6-0,180.0
Ron Baker,2017.0,2018.0,G,06-04,220.0
Vin Baker,1994.0,2006.0,F,06-11,232.0
Wade Baldwin,2017.0,2017.0,G,06-04,202.0
Renaldo Balkman,2007.0,2012.0,F,06-08,208.0
Cedric Ball,1991.0,1991.0,F,06-08,210.0
Lonzo Ball,2018.0,2018.0,G,06-06,190.0
Greg Ballard,1978.0,1989.0,F,06-07,215.0
Herschel Baltimore,1947.0,1947.0,F,06-04,195.0
Gene Banks,1982.0,1987.0,F-G,06-07,215.0
Marcus Banks,2004.0,2011.0,G,06-02,200.0
Walker Banks,1971.0,1971.0,C,06-10,205.0
Ken Bannister,1985.0,1991.0,F-C,06-09,235.0
Mike Bantom,1974.0,1982.0,F-C,06-09,200.0
John Barber,1957.0,1957.0,F,06-06,210.0
Leandro Barbosa,2004.0,2017.0,G,06-03,194.0
Steve Bardo,1992.0,1996.0,G,06-05,190.0
J.J. Barea,2007.0,2018.0,G,6-0,185.0
Andrea Bargnani,2007.0,2016.0,F-C,7-0,245.0
Cliff Barker,1950.0,1952.0,G,06-02,185.0
Tom Barker,1977.0,1979.0,C-F,06-11,225.0
Charles Barkley,1985.0,2000.0,F,06-06,252.0
Erick Barkley,2001.0,2002.0,G,06-01,177.0
Don Barksdale,1952.0,1955.0,F-C,06-06,200.0
Harrison Barnes,2013.0,2018.0,F,06-08,210.0
Harry Barnes,1969.0,1969.0,F,06-03,205.0
Jim Barnes,1965.0,1971.0,C-F,06-08,210.0
Marvin Barnes,1975.0,1980.0,F-C,06-08,210.0
Matt Barnes,2004.0,2017.0,F,06-07,226.0
Dick Barnett,1960.0,1974.0,G-F,06-04,190.0
Jim Barnett,1967.0,1977.0,G-F,06-04,170.0
Nathaniel Barnett,1976.0,1976.0,G,06-03,175.0
John Barnhill,1963.0,1972.0,G,06-01,180.0
Norton Barnhill,1977.0,1977.0,G,06-04,205.0
Leo Barnhorst,1950.0,1954.0,F-G,06-04,190.0
John Barr,1947.0,1947.0,F,06-03,205.0
Mike Barr,1973.0,1977.0,G,06-03,180.0
Moe Barr,1971.0,1971.0,G,06-04,195.0
Andre Barrett,2005.0,2008.0,G,05-10,172.0
Ernie Barrett,1954.0,1956.0,G-F,06-03,180.0
Mike Barrett,1970.0,1973.0,G,06-02,155.0
Earl Barron,2006.0,2015.0,C,7-0,250.0
Dana Barros,1990.0,2004.0,G,05-11,163.0
Brent Barry,1996.0,2009.0,G,06-06,185.0
Drew Barry,1998.0,2000.0,G,06-05,191.0
Jon Barry,1993.0,2006.0,G,06-04,195.0
Rick Barry,1966.0,1980.0,F,06-07,205.0
Ed Bartels,1950.0,1951.0,F,06-05,195.0
Vic Bartolome,1972.0,1972.0,C,7-0,230.0
Will Barton,2013.0,2018.0,G,06-06,175.0
Eddie Basden,2006.0,2006.0,G,06-05,215.0
Jerry Baskerville,1976.0,1976.0,F,06-07,190.0
Brandon Bass,2006.0,2017.0,F,06-08,250.0
Tim Bassett,1974.0,1980.0,F-C,06-08,225.0
Maceo Baston,2003.0,2009.0,F,06-09,215.0
Mengke Bateer,2002.0,2004.0,C,06-11,290.0
Billy Ray Bates,1980.0,1983.0,G,06-04,210.0
Esteban Batista,2006.0,2007.0,F-C,06-10,270.0
Mike Batiste,2003.0,2003.0,F,06-08,225.0
Tony Battie,1998.0,2012.0,C-F,06-11,230.0
Shane Battier,2002.0,2014.0,F,06-08,220.0
John Battle,1986.0,1995.0,G,06-02,175.0
Kenny Battle,1990.0,1993.0,F,06-06,210.0
Dave Batton,1983.0,1984.0,C,06-10,240.0
Lloyd Batts,1975.0,1975.0,G-F,06-04,185.0
Nicolas Batum,2009.0,2018.0,F-G,06-08,200.0
Johnny Baum,1970.0,1974.0,F,06-05,200.0
Frankie Baumholtz,1947.0,1947.0,G,05-10,170.0
Lonny Baxter,2003.0,2006.0,F,06-08,260.0
Jerryd Bayless,2009.0,2018.0,G,06-03,200.0
Elgin Baylor,1959.0,1972.0,F,06-05,225.0
Howard Bayne,1968.0,1968.0,F,06-06,235.0
Aron Baynes,2013.0,2018.0,C,06-10,260.0
